ORGYN,GENDER,AGE,BILL,CLASS,LTIME,MNTH_INCOME
0,F,61,6669,Gold,8,0
0,F,64,12371,Gold,6,0
0,F,51,5760,Gold,3,500
0,F,55,10455,Gold,8,500
0,M,57,9422,Gold,8,500
0,M,63,8105,Gold,14,500
1,F,65,13175,Gold,5,500
1,F,75,6729,Gold,2,500
0,M,42,7874,Gold,2,1000
0,F,44,11781,Gold,3,1000
0,M,47,14620,Gold,2,1000
0,F,51,6415,Gold,5,1000
0,F,51,6975,Gold,1,1000
0,M,54,11279,Gold,10,1000
0,F,54,11814,Gold,18,1000
0,M,56,5408,Gold,8,1000
0,F,56,11175,Gold,6,1000
0,F,61,8498,Gold,4,1000
0,F,63,12033,Gold,1,1000
0,F,63,14392,Gold,21,1000
0,M,63,19374,Gold,8,1000
0,F,64,6618,Gold,7,1000
0,M,66,8621,Gold,31,1000
0,F,67,11768,Gold,2,1000
0,F,69,10070,Gold,6,1000
1,F,69,12851,Gold,32,1000
0,F,72,6976,Gold,19,1000
0,F,73,17906,Gold,1,1000
0,F,75,14616,Gold,7,1000
0,F,77,15357,Gold,5,1000
1,M,26,8411,Gold,6,1500
1,F,27,18267,Gold,1,1500
1,F,30,13997,Gold,9,1500
0,F,36,12755,Gold,3,1500
0,F,38,15255,Gold,5,1500
1,F,43,15566,Gold,11,1500
1,F,44,17002,Gold,2,1500
0,M,45,6368,Gold,4,1500
0,F,46,8241,Gold,5,1500
0,F,46,14924,Gold,6,1500
0,F,47,18591,Gold,3,1500
0,F,48,6547,Gold,7,1500
0,M,48,8314,Gold,2,1500
0,M,49,18086,Gold,3,1500
0,F,50,6818,Gold,3,1500
0,M,50,13898,Gold,6,1500
0,F,51,19875,Gold,1,1500
0,F,52,16917,Gold,10,1500
0,M,53,11555,Gold,3,1500
0,F,53,14114,Gold,1,1500
0,F,54,5267,Gold,1,1500
0,F,54,12668,Gold,8,1500
0,M,55,6589,Gold,2,1500
0,M,55,8173,Gold,4,1500
0,F,55,17405,Gold,2,1500
0,F,55,17506,Gold,9,1500
0,F,55,18360,Gold,6,1500
0,M,55,18565,Gold,7,1500
0,M,56,8641,Gold,5,1500
0,F,56,12004,Gold,2,1500
0,F,56,13653,Gold,6,1500
0,M,57,5152,Gold,8,1500
0,F,57,8690,Gold,5,1500
0,M,57,14855,Gold,5,1500
0,F,58,5529,Gold,8,1500
0,F,59,7737,Gold,2,1500
0,F,59,13114,Gold,1,1500
0,F,59,13954,Gold,21,1500
0,M,60,5521,Gold,6,1500
0,F,60,7456,Gold,1,1500
0,M,60,8039,Gold,1,1500
0,F,60,8724,Gold,9,1500
0,F,60,9839,Gold,9,1500
0,F,60,10296,Gold,4,1500
0,F,60,17862,Gold,1,1500
0,F,61,6304,Gold,3,1500
0,M,61,9842,Gold,7,1500
0,F,61,11064,Gold,5,1500
0,M,61,18615,Gold,2,1500
0,F,61,19534,Gold,6,1500
0,M,62,9459,Gold,2,1500
0,F,63,14284,Gold,5,1500
0,M,64,11328,Gold,7,1500
1,M,65,9892,Gold,4,1500
1,F,65,13332,Gold,17,1500
1,M,65,17993,Gold,15,1500
1,F,66,7357,Gold,8,1500
1,F,66,12634,Gold,2,1500
0,M,66,18661,Gold,3,1500
0,F,67,13787,Gold,4,1500
0,M,68,10203,Gold,5,1500
0,M,68,12495,Gold,5,1500
0,F,68,13704,Gold,7,1500
0,M,68,14341,Gold,8,1500
1,F,68,16662,Gold,5,1500
0,F,68,18374,Gold,14,1500
0,M,69,6947,Gold,21,1500
0,F,69,10708,Gold,2,1500
1,M,69,14714,Gold,25,1500
1,M,69,19683,Gold,27,1500
0,F,70,5821,Gold,20,1500
0,M,71,8993,Gold,2,1500
1,F,71,18233,Gold,4,1500
0,M,72,12726,Gold,7,1500
0,F,73,6907,Gold,8,1500
1,F,73,15896,Gold,2,1500
0,F,74,11848,Gold,5,1500
0,F,75,5427,Gold,2,1500
0,F,76,13687,Gold,5,1500
0,F,77,7736,Gold,4,1500
0,M,77,13010,Gold,2,1500
1,M,77,18069,Gold,29,1500
1,F,78,16470,Gold,25,1500
1,F,79,18888,Gold,6,1500
1,F,21,14841,Gold,2,2000
1,F,22,8078,Gold,3,2000
0,F,38,7562,Gold,3,2000
1,F,38,11366,Gold,7,2000
0,F,40,10538,Gold,8,2000
0,M,40,12341,Gold,7,2000
0,F,41,7688,Gold,2,2000
0,F,44,9849,Gold,8,2000
0,F,44,16927,Gold,6,2000
0,F,45,6816,Gold,2,2000
0,F,46,13482,Gold,1,2000
0,F,47,7606,Gold,8,2000
0,F,47,9288,Gold,2,2000
0,F,47,19305,Gold,14,2000
0,F,48,6617,Gold,11,2000
0,F,48,8016,Gold,6,2000
0,F,48,16198,Gold,1,2000
0,F,49,8318,Gold,3,2000
0,F,49,12415,Gold,2,2000
0,M,50,6952,Gold,1,2000
1,F,50,6960,Gold,3,2000
0,M,50,10490,Gold,1,2000
0,M,50,16588,Gold,6,2000
0,F,51,6690,Gold,8,2000
0,F,51,10109,Gold,12,2000
0,F,51,10924,Gold,3,2000
0,F,51,14039,Gold,3,2000
0,F,52,6295,Gold,4,2000
